dato,applitenskjerm_tilsette,applitenskjerm_studentar,applitenskjerm_assistentar,applitenskjerm_observatørar,appstorskjerm_tilsette,appstorskjerm_studentar,appstorskjerm_assistentar,appstorskjerm_observatørar,nettlesarlitenskjerm_tilsette,nettlesarlitenskjerm_studentar,nettlesarlitenskjerm_assistentar,nettlesarlitenskjerm_observatørar,nettlesarstorskjerm_tilsette,nettlesarstorskjerm_studentar,nettlesarstorskjerm_assistentar,nettlesarstorskjerm_observatørar
2023-12-03,1406,76536,1493,1987,72,7122,238,190,460,17139,326,420,12892,183618,6742,4324
2023-12-04,3448,146077,2508,4368,177,13534,456,342,1081,34674,666,1257,52177,344739,9460,15581
2023-12-05,1986,125446,2347,3592,47,12933,594,41,465,31370,810,691,47265,336807,8058,12849
2023-12-06,3403,124181,2385,3022,66,11173,581,350,895,31336,670,718,41467,283960,7622,10069
2023-12-07,2315,141959,3009,3580,87,11529,392,445,872,34911,817,1092,43728,292461,7585,12615
2023-12-08,2225,82690,1317,1908,167,8045,219,200,900,20448,397,624,39762,228772,7163,11538
2023-12-09,1589,43808,828,1112,49,5699,285,31,446,9921,241,180,8149,149689,5879,4102
2023-12-10,1872,68374,1295,2268,93,5400,231,84,512,15492,513,387,16829,208633,5947,5053
2023-12-11,2486,95487,2160,2617,244,9581,214,120,814,23918,459,697,40296,287639,8145,14087
2023-12-12,2008,83320,1411,2807,108,9078,371,291,520,22204,324,894,36300,281934,8392,12827
2023-12-13,1691,75078,1462,2739,144,6994,222,190,438,18690,439,669,35105,253463,8409,9476
2023-12-14,1861,75981,1370,2634,217,7079,265,197,830,18816,369,840,34993,214755,7064,9529
2023-12-15,2471,79686,1525,2202,38,4517,354,34,538,16664,426,447,34660,160100,7088,8859
2023-12-16,1421,77424,1442,2646,56,4622,226,50,448,14503,378,397,9580,123851,5991,3242
2023-12-17,1393,52430,1088,1579,74,4004,266,11,537,10756,482,548,11477,138275,5527,3942
2023-12-18,2329,80292,1647,1657,115,5240,320,0,530,17275,661,370,40531,153428,3391,8274
2023-12-19,2276,74947,2222,1635,223,3465,62,208,550,14807,534,458,34223,131946,2689,8112
2023-12-20,1788,67855,1392,2102,144,2675,32,67,415,13249,226,327,32923,88878,2852,9044
2023-12-21,1686,56655,1277,1770,59,2323,79,45,478,10696,331,340,23554,47863,1880,5631
2023-12-22,1255,45727,887,1473,12,1400,119,44,469,7798,256,288,16000,28907,1141,3199
2023-12-23,872,26868,730,701,46,1046,75,32,131,4031,142,60,3858,16361,803,1663
2023-12-24,515,24098,597,939,5,1161,59,11,241,3200,108,56,1830,8146,132,777
2023-12-25,825,31026,669,769,10,1419,101,15,98,4519,148,77,2639,21141,333,1888
2023-12-26,1011,30069,431,1012,140,1917,94,3,107,4531,48,137,2593,21104,950,569
2023-12-27,900,39031,478,1085,26,1346,117,5,131,6007,115,174,8878,29320,618,2105
2023-12-28,839,46668,1027,1133,96,1636,135,39,242,7783,167,179,9761,32920,656,1681
2023-12-29,1260,45288,1103,1306,9,1630,110,8,362,7389,201,197,9051,34237,1386,2288
2023-12-30,975,39575,998,1311,11,2290,113,2,277,6667,218,192,4142,27889,805,1662
2023-12-31,754,28468,575,670,7,1390,143,3,102,4009,121,81,5097,21221,716,1531
2024-01-01,1015,67858,1459,1781,9,2847,295,3,169,10968,379,241,7013,43343,1141,2063
2024-01-02,2387,121120,2212,2507,20,3581,168,9,519,22555,416,486,42938,103396,2931,10452
2024-01-03,2816,130620,2921,3071,40,3999,72,33,800,27205,528,640,41706,133322,2332,8684
2024-01-04,1498,84869,1664,2324,39,3388,22,35,335,18545,304,449,42339,112495,2870,9389
2024-01-05,406,25374,562,664,1,1056,10,8,89,5775,106,154,10772,28424,885,2180
2024-01-06,172,10072,241,325,1,486,33,0,22,1947,37,53,1294,8968,383,418
2024-01-07,709,34060,477,1064,96,1760,84,23,166,6945,94,178,5575,28500,942,2263
2024-01-08,11907,876237,17440,23519,473,51343,1269,1671,3134,212477,4099,5596,276116,1162572,33727,65056
2024-01-09,17270,945382,20109,29285,425,65846,2295,1664,3764,232749,5076,6946,303112,1291093,41890,81741
2024-01-10,18374,956061,20430,26509,1298,69480,4382,2048,4716,236749,6130,6116,307057,1264471,43374,85442
2024-01-11,2432,98311,1674,2760,50,6904,180,29,457,23441,443,621,30501,140514,4374,9083
2024-01-12,1381,78236,1827,2077,37,5033,142,65,443,18543,501,505,30929,111578,3499,6522
2024-01-13,1043,40364,1277,1214,14,2171,20,104,217,7787,339,233,9003,44319,2242,2482
2024-01-14,1749,83307,1923,2529,13,3523,19,117,471,16379,406,457,12679,73884,2145,3315
2024-01-15,4886,296150,6032,9371,117,20290,1038,1297,1136,70923,1792,2202,87808,397694,12900,22913
2024-01-16,6321,399418,8678,13356,321,31831,1647,1214,2088,100199,2935,3311,128853,599722,20320,42570
2024-01-17,7807,358875,6551,10657,490,26602,1043,598,2230,88545,2400,2574,130086,537805,16343,35428
2024-01-18,8491,407579,8767,11774,401,25818,1203,489,2182,97289,2341,2688,136898,523701,16395,37698
2024-01-19,6656,278696,6865,8134,370,23453,954,403,1658,68987,2026,1880,104207,389771,12655,28145
2024-01-20,2797,105082,2914,2837,68,7803,362,247,662,21024,982,435,18582,124712,4064,7494
2024-01-21,4179,213684,3720,6394,164,9921,407,354,1006,44572,997,1291,31813,211697,5952,10682
2024-01-22,6211,333895,6059,9327,117,22217,851,393,1666,81344,1931,2359,114733,496551,16820,29212
2024-01-23,6598,333356,6301,9807,369,27500,1402,432,2127,83082,1839,2565,119854,541942,17708,33406
2024-01-24,7860,387551,8084,10459,343,31031,1503,778,2098,96454,2639,2409,141867,615399,16222,34050
2024-01-25,7762,377326,7994,10629,357,27554,963,983,2714,92506,2460,2708,128587,568147,17484,38161
2024-01-26,6037,256551,6431,6771,216,19943,976,336,1951,61786,1888,1320,100800,418658,16882,24568
2024-01-27,2740,115583,1854,4095,147,6517,86,10,832,22086,351,736,16551,167228,6270,5210
2024-01-28,3886,260944,4847,8681,49,12164,282,68,848,52787,947,1464,34555,281551,9203,12093
2024-01-29,6679,418106,9536,16206,331,31482,1403,947,2295,101800,2576,3524,132539,644452,22321,38584
2024-01-30,6077,380676,6963,12741,333,31147,949,533,1882,94892,1840,3025,137590,626127,21175,35672
2024-01-31,6685,377573,7241,9255,284,26446,1731,850,2052,90872,2099,2382,125932,580013,16798,32203
2024-02-01,5962,321177,6289,8916,280,24952,1048,986,2272,79773,2112,2062,125560,554011,18960,33381
2024-02-02,8192,434406,10000,11077,509,31420,1269,1339,2388,105410,2643,2457,179189,707738,23334,43774
2024-02-03,2670,120253,3276,2843,65,8746,188,46,633,24593,1049,577,20577,167825,7578,6573
2024-02-04,8482,379639,7348,10502,158,19435,636,418,2771,79063,1774,2082,54251,422150,14220,16468
2024-02-05,7205,407433,9185,11492,166,28882,1119,578,1933,98137,2436,2476,148616,638230,24649,38765
2024-02-06,5241,284719,5042,6808,268,21672,1337,751,1757,73724,1415,1924,107742,484303,15776,27059
